,date,name,archi,train_accuracy,val_accuracy,optimizer,n_epochs,batch_size,loss_fn,regularization
0,2023/01/27/17:40,ore_no_zenketugou,NN,1.0,0.2,SDG,500,100,CrossEntropyLoss(),0
0,2023/01/28/11:48,ore_no_zenketugou_l2_0.001,NN,0.83852,0.2422,SDG,500,100,CrossEntropyLoss(),0
0,2023/01/28/12:21,ore_no_zenketugou_dropout_0.3,NN,0.01084,0.0102,SDG,300,100,CrossEntropyLoss(),0
0,2023/01/29/13:57,CNN,CNN,0.58932,0.2918,SDG,300,100,CrossEntropyLoss(),0
0,2023/01/29/14:10,ore_no_zenketugou_dropout_0.05,NN,0.00986,0.0104,SDG,300,100,CrossEntropyLoss(),0
0,2023/01/30/14:45,CNN_32,CNN,0.51272,0.3538,SDG,300,100,CrossEntropyLoss(),0
0,2023/01/30/17:04,CNN128,NN,0.78992,0.3748,SDG,300,100,CrossEntropyLoss(),0
0,2023/01/31/09:09,CNN_32_batchNorm,CNN,0.56044,0.3631,SDG,300,100,CrossEntropyLoss(),0
0,2023/01/31/09:11,CNN_128_BatchNorm,CNN,0.8721,0.3873,SDG,300,100,CrossEntropyLoss(),0
0,2023/01/31/19:25,ResNet_block_10_CNN_32,Res_CNN,0.11098,0.0902,SDG,300,100,CrossEntropyLoss(),0
0,2023/02/01/12:02,ResNet_Block_10_CNN_128,ResNet_CNN,0.31796,0.2021,SDG,300,100,CrossEntropyLoss(),0
0,2023/02/01/20:26,CNN_32_BatchNorm_Relu,CNN,0.57874,0.4413,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/01/20:37,CNN_256_BatchNorm_Relu_small,CNN,0.91344,0.4523,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/01/20:52,ResNet_Block_10_CNN_128,ResNet_CNN,0.23436,0.1579,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/00:08,ResNet18_finetuning,CNN,0.64736,0.5654,SDG,10,100,CrossEntropyLoss(),0
0,2023/02/02/00:30,ResNet_Block_6_CNN_256,ResNet_CNN,0.01812,0.0223,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/01:00,CNN_32_BatchNorm_Relu,CNN,0.94344,0.4145,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/03:06,ResNet34_finetuning,CNN,0.68416,0.5955,SDG,10,100,CrossEntropyLoss(),0
0,2023/02/02/03:08,CNN_256_BatchNorm_relu,Res_CNN,0.8369878361075545,0.5282,SDG,50,100,CrossEntropyLoss(),0
0,2023/02/02/03:13,"zenketugou_dropout_0.01,para_37M",CNN,0.4691,0.3337,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/07:51,CNN32_BatchNorm_Relu_Augmentation,CNN,0.36228,0.3358,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/11:32,CNN_256_BatchNorm_relu_Augmentation,Res_CNN,0.7279529449423816,0.4371,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/12:03,CNN256_BatchNorm_Relu_Augmentation,CNN,0.6421,0.4417,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/14:43,CNN_256_BatchNorm_relu_dataAugNone,CNN,0.88126,0.4359,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/17:15,CNN_256_relu_Augm,Res_CNN,0.8499919974391805,0.3707,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/17:30,cnn256_sigmoid_batchnorm_aug,NN,0.0223,0.0228,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/17:36,ResNet_Block_3_CNN_256_relu_SDGmomentum_0.9,ResNet_CNN,0.6652928937259923,0.3477,SDG,50,100,CrossEntropyLoss(),0
0,2023/02/02/18:44,CNN256_BatchNorm_Relu_Augmentation_dropout,CNN,0.61968,0.4382,SDG,100,100,CrossEntropyLoss(),0
0,2023/02/02/22:56,CNN_256_batch_relu_adam,Res_CNN,0.010003201024327784,0.010016025641025642,SDG,100,100,CrossEntropyLoss(),0
